r,ThetaLSP,ThetaB,ChiLSP,ChiB,Phi,phi
0.12500625131126555,-1.6433817582094616,-0.6156952800955805,1.1360125588170884e-09,1.2530364630988013e-19,1.928134129198024,-1.6159414510095906e-07
0.1300065013237162,-1.643381755120473,-0.6156952800955805,1.4370151186300378e-09,1.5887241705697079e-19,1.9281072356469526,-1.619738391907798e-07
0.1350067513361668,-1.6433817516547993,-0.6156952800955805,1.801800288716535e-09,1.9967771150714238e-19,1.9280792854606246,-1.6236904874148666e-07
0.14000700134861743,-1.6433817477828587,-0.6156952800955805,2.240760532734978e-09,2.489347788459493e-19,1.928050278409795,-1.627798467242342e-07
0.14500725136106804,-1.6433817434739448,-0.6156952800955805,2.7655120271012903e-09,3.0801075787742813e-19,1.9280202142565783,-1.632063090149664e-07
0.15000750137351868,-1.643381738696226,-0.6156952800955805,3.3889877291560958e-09,3.784379617920664e-19,1.9279890927545191,-1.6364851441040977e-07
0.15500775138596928,-1.643381733416742,-0.6156952800955805,4.125533427009031e-09,4.619278725494036e-19,1.9279569136484234,-1.6410654464818944e-07
0.16000800139841992,-1.6433817276014036,-0.6156952800955805,4.991007526161808e-09,5.603859615736183e-19,1.9279236766744154,-1.6458048442432165e-07
0.16500825141087055,-1.6433817212149908,-0.6156952800955805,6.0028848227539905e-09,6.759273996835661e-19,1.9278893815599425,-1.6507042141221952e-07
0.17000850142332116,-1.6433817142211506,-0.6156952800955805,7.1803635548586725e-09,8.108936124730081e-19,1.9278540280239265,-1.6557644628016256e-07
0.1750087514357718,-1.6433817065823966,-0.6156952800955805,8.544475516683503e-09,9.678696931602333e-19,1.9278176157764975,-1.6609865271548168e-07
0.1800090014482224,-1.643381698260105,-0.6156952800955805,1.01181996588897e-08,1.1497027590690013e-18,1.9277801445191274,-1.6663713744371398e-07
0.18500925146067304,-1.6433816892145159,-0.6156952800955805,1.192658131992088e-08,1.3595215443136401e-18,1.9277416139446906,-1.671920002494109e-07
