r,J_LSP,J_B,ratio_running
0.23001150157272862,9.451192266746929e-05,1.1471056508230348e-14,8239164596.535471
0.23501175158517926,9.869084538046331e-05,1.2042448980095368e-14,8195247124.865273
0.2400120015976299,0.00010296180789409211,1.2632325451438445e-14,8150661435.212456
0.2450122516100805,0.00010732495012243206,1.3241128612814169e-14,8105423129.760087
0.25001250162253114,0.00011178041476581569,1.3869315725065058e-14,8059547924.473495
0.25501275163498177,0.00011632842347907534,1.4517368569938913e-14,8013051602.19989
0.2600130016474324,0.00012096905200306348,1.5185765580217326e-14,7965950176.437022
0.26501325165988304,0.00012570244934299377,1.587500967274395e-14,7918259700.894183
0.2700135016723336,0.0001305287704348207,1.6585620241528028e-14,7869996330.194229
0.27501375168478426,0.00013544817307232132,1.731813323852204e-14,7821176290.007611
0.2800140016972349,0.00014046081811185324,1.807310161130056e-14,7771815880.458912
0.28501425170968553,0.00014556686941316337,1.8851095754787612e-14,7721931462.588521
0.2900145017221361,0.0001507665583203001,1.9652712536283655e-14,7671539388.873095
0.29501475173458674,0.0001560600048457542,2.047855217137287e-14,7620656164.546227
0.3000150017470374,0.0001614473676321361,2.1329238368489425e-14,7569298295.744542
0.305015251759488,0.0001669288226454618,2.2205416138979598e-14,7517482293.53979
0.3100155017719386,0.00017250454893664378,2.310775042998519e-14,7465224685.514935
0.31501575178438923,0.00017817472882710418,2.4036926669976284e-14,7412542013.936259
0.32001600179683987,0.00018393954747524945,2.499365133280728e-14,7359450807.165813
0.3250162518092905,0.00018979924583955584,2.5978659979558426e-14,7305967512.908723
0.33001650182174114,0.00019575398860539344,2.6992699336438183e-14,7252108659.66042
0.3350167518341917,0.00020180394424693346,2.8036538936772815e-14,7197890748.998506
0.34001700184664235,0.00020794930994113013,2.911097544470562e-14,7143330196.410496
0.345017251859093,0.00021419028658938762,3.021682966579636e-14,7088443392.585231
0.3500175018715436,0.000220526994698117,3.135493494625447e-14,7033246762.467298
0.3550177518839942,0.000226959767322057,3.252618094143589e-14,6977756402.779137
0.36001800189644484,0.00023348885352254256,3.3731471158377066e-14,6921988442.966461
0.3650182519088955,0.00024011445935592966,3.497172931868225e-14,6865958991.2717905
0.3700185019213461,0.00024683672524361224,3.6247896234408305e-14,6809684171.665183
0.3750187519337967,0.0002536558703184109,3.7560952584923504e-14,6753179907.908545
0.3800190019462473,0.0002605721168403281,3.8911908406829874e-14,6696462021.754556
0.38501925195869796,0.0002675856902857787,4.030180393417249e-14,6639546227.827506
0.3900195019711486,0.0002746968191323557,4.1731710464365816e-14,6582448121.001795
0.3950197519835992,0.00028190573501907365,4.320273125124554e-14,6525183173.713034
0.4000200019960498,0.0002892126726981035,4.4716002424981734e-14,6467766728.103751
