r,J_LSP,J_B,ratio_running
0.3833461125332178,0.0002652278067803263,2.7814292559379666e-14,9535666104.543253
0.3866795569813327,0.0002699360053687889,2.8470541056373686e-14,9481239040.533037
0.39001300142944767,0.0002746875121132148,2.913930958329394e-14,9426699398.21422
0.3933464458775626,0.00027948229673512595,2.9820816021308525e-14,9372053955.043394
0.3966798903256776,0.00028432066153066734,3.051532045934071e-14,9317308723.97367
0.4000133347737925,0.0002892028609764139,3.1223082821868675e-14,9262469776.810635
0.4033467792219074,0.00029412854833960744,3.194429839530254e-14,9207544479.451128
0.4066802236700224,0.0002990977946606832,3.267921465439666e-14,9152539246.240501
0.4100136681181373,0.00030411123752205896,3.342815092862832e-14,9097459149.665798
0.41334711256625223,0.0003091684692593545,3.4191308917571963e-14,9042311600.433153
0.4166805570143672,0.0003142694774849467,3.49689410269884e-14,8987103076.481476
0.42001400146248213,0.00031941458302112846,3.5761344851069525e-14,8931839234.552042
0.42334744591059703,0.00032460401762282224,3.6568813257346945e-14,8876525889.382174
0.426680890358712,0.00032983745185976584,3.739157583984438e-14,8821170128.601315
0.43001433480682694,0.0003351149610087074,3.822991628707691e-14,8765778049.113552
0.43334777925494183,0.0003404372021768902,3.908419684902626e-14,8710354302.326462
0.4366812237030568,0.0003458037434859437,3.995464994093745e-14,8654906099.718668
0.44001466815117174,0.0003512145903970154,4.084156740156723e-14,8599439559.793636
0.4433481125992867,0.0003566700825970697,4.174528967574174e-14,8543959938.175523
0.4466815570474016,0.00036217031142246066,4.2666132017803996e-14,8488473041.599645
0.45001500149551654,0.00036771531154710307,4.360440840469003e-14,8432984760.035229
0.4533484459436315,0.00037330501717159546,4.4560425436616595e-14,8377501191.109363
0.4566818903917464,0.0003789395087146709,4.553451492966795e-14,8322028011.05878
0.46001533483986135,0.0003846192140002805,4.652706204004461e-14,8266569973.174944
0.4633487792879763,0.00039034388764988803,4.753836841995749e-14,8211133461.74528
0.46668222373609125,0.00039611359322045965,4.856878326263794e-14,8155724039.419663
0.47001566818420615,0.00040192857251338416,4.9618687293327607e-14,8100346753.176456
0.4733491126323211,0.0004077889580687646,5.068845368450346e-14,8045006868.959476
0.47668255708043605,0.0004136946271651686,5.1778426751216823e-14,7989710254.28938
0.480016001528551,0.0004196456648116778,5.288898667011441e-14,7934462186.412127
0.4833494459766659,0.00042564264705570893,5.4020592089379986e-14,7879266601.733283
0.48668289042478086,0.0004316848630486781,5.5173523749220086e-14,7824130737.250224
0.4900163348728958,0.0004377727070065822,5.6348228663363483e-14,7769058893.083066
0.4933497793210107,0.00044390656387013894,5.754516213290689e-14,7714055316.151301
0.49668322376912566,0.0004500866609743751,5.876476550829425e-14,7659124597.559203
0.5000166682172406,0.00045631265113579275,6.000740151705125e-14,7604272799.683392
0.5033501126653555,0.0004625846239616894,6.127350574176478e-14,7549504771.462521
0.5066835571134705,0.0004689026698643433,6.256352230079546e-14,7494825301.074544
0.5100170015615854,0.00047526687969287373,6.38779040160129e-14,7440239109.500742
0.5133504460097003,0.00048167734499041266,6.52171125835676e-14,7385750854.474018
0.5166838904578153,0.00048813443531268036,6.65816634025759e-14,7331364378.226025
0.5200173349059302,0.0004946384246026303,6.7972067453207e-14,7277083707.114645
0.5233507793540451,0.0005011889481828759,6.938874123437276e-14,7222914543.009528
0.5266842238021601,0.0005077861003277563,7.083218380263955e-14,7168861286.877812
0.530017668250275,0.0005144299757726466,7.2302903999057e-14,7114928271.475181
0.53335111269839,0.0005211206701921495,7.380142064205134e-14,7061119767.865553
0.5366845571465049,0.0005278582795730793,7.532826272385468e-14,7007439976.521841
0.5400180015946198,0.0005346431579697015,7.688401443866699e-14,6953892325.643383
0.5433514460427348,0.0005414756261615723,7.846926674044168e-14,6900480260.031604
0.5466848904908497,0.0005483553020637532,8.008449771478268e-14,6847209106.769899
0.5500183349389646,0.0005552822844481341,8.173027919207884e-14,6794082804.282787
0.5533517793870796,0.0005622566726516773,8.340719422355968e-14,6741105223.425188
0.5566852238351945,0.0005692785669249152,8.511583730319245e-14,6688280171.609887
0.5600186682833094,0.0005763480679479687,8.685681459362057e-14,6635611386.907805
0.5633521127314244,0.0005834655142096027,8.863078905031548e-14,6583101882.105221
0.5666855571795393,0.0005906312737319924,9.043844357313934e-14,6530754515.410665
0.5700190016276542,0.0005978449466721966,9.228032679122644e-14,6478574225.5199375
0.5733524460757692,0.0006051066363916747,9.41570940070526e-14,6426564485.37325
0.5766858905238841,0.0006124164470794108,9.606941339626157e-14,6374728703.22785
0.5800193349719991,0.0006197744835073057,9.801796626292168e-14,6323070220.053674
0.583352779420114,0.0006271808511319111,1.0000344729958739e-13,6271592310.74326
0.5866862238682289,0.0006346358727692363,1.0202660964353525e-13,6220297577.137505
0.5900196683163439,0.0006421399639854153,1.0408824199823863e-13,6169188293.105013
0.5933531127644588,0.0006496927071155218,1.0618897380069171e-13,6118269005.357783
0.5966865572125737,0.0006572942103680536,1.0832955613307205e-13,6067542726.387924
0.6000200016606887,0.0006649445824051225,1.105107548515287e-13,6017012401.177389
0.6033534461088036,0.0006726439328494343,1.127333508803232e-13,5966680912.053325
0.6066868905569185,0.0006803923718753197,1.149981405106659e-13,5916551075.121204
0.6100203350050335,0.0006881902066122309,1.1730598015007959e-13,5866625092.188567
0.6133537794531484,0.0006960379006529224,1.1965778034655138e-13,5816904664.594864
0.6166872239012633,0.0007039350182747656,1.2205426310753276e-13,5767393947.187096
0.6200206683493783,0.0007118816723432722,1.244962894549658e-13,5718095498.748034
0.6233541127974932,0.0007198779764729323,1.269847373723619e-13,5669011814.876683
0.6266875572456082,0.0007279240450567979,1.2952050214256626e-13,5620145328.463557
0.6300210016937231,0.0007360199929017138,1.3210449669216353e-13,5571498407.180069
0.633354446141838,0.0007441661115589335,1.3473769569935453e-13,5523072869.076077
0.636687890589953,0.0007523629128406813,1.3742115012751185e-13,5474869859.134278
0.6400213350380679,0.0007606099430396177,1.4015568803384375e-13,5426893147.968075
0.6433547794861828,0.0007689073196333634,1.429422966733624e-13,5379144854.447067
0.6466882239342978,0.0007772551611689159,1.4578198277996447e-13,5331627038.864352
0.6500216683824127,0.0007856535867786033,1.4867577295438365e-13,5284341699.83872
0.6533551128305276,0.0007941027162804287,1.5162471406115968e-13,5237290775.434654
0.6566885572786426,0.0008026028254028855,1.5462991624322993e-13,5190475717.133588
0.6600220017267575,0.000811154474708134,1.5769259238059262e-13,5143897138.493384
0.6633554461748725,0.0008197571918903197,1.6081369202768747e-13,5097558432.705974
0.6666888906229874,0.0008284110997181143,1.6399434742276616e-13,5051461301.78821
0.6700223350711023,0.0008371163214191126,1.6723571317909918e-13,5005607387.954345
0.6733557795192173,0.0008458729809660815,1.705389667323511e-13,4959998275.899136
0.6766892239673322,0.0008546812032432429,1.7390530879715177e-13,4914635494.193958
0.6800226684154471,0.000863541248028781,1.7733600469110634e-13,4869520149.238419
0.6833561128635621,0.0008724537250009243,1.8083245410859704e-13,4824652351.822762
0.686689557311677,0.0008814181435544404,1.843957458047534e-13,4780035134.258065
0.6900230017597919,0.0008904346310913072,1.880271785800071e-13,4735669799.525392
0.6933564462079069,0.000899503316067891,1.9172807694406685e-13,4691557597.640248
